X,Y,TOWNNAME,LOCATOR,POP,POPAFFECTE,PRIMARYSCH,LONGITUDE,LATITUDE,ISCENTER,ENTRYDATE,OWNERMAC,SOURCETHM,icon_url
14.033258,-11.995621,Bom Jesus,2/3/3/21,0.0000,0.0000,"0",14.0333,-11.9956,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
13.97412,-11.975319,Lonjimbo,2/3/3/35,0.0000,0.0000,"0",13.9741,-11.9753,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
13.996379,-11.943716,Ngolo,2/3/3/49,0.0000,0.0000,"0",13.9964,-11.9437,No,2004-10-27 12:58:29.000,CN,Cidade.shp,./0.png
13.932487,-12.003854,Laranja,2/3/3/31,0.0000,0.0000,"0",13.9325,-12.0039,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
13.881618,-11.993719,Santa Teresa,2/3/3/42,0.0000,0.0000,"0",13.8816,-11.9937,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
13.959714,-12.046129,Kuvelo,2/3/3/13,0.0000,0.0000,"0",13.9597,-12.0461,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
14.011453,-11.957659,Nende,2/3/3/48,0.0000,0.0000,"0",14.0115,-11.9577,No,2004-10-27 12:58:29.000,CN,Cidade.shp,./0.png
13.901378,-11.994773,Bunji,2/3/3/7,0.0000,0.0000,"0",13.9014,-11.9948,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
13.952098,-12.02146,Calochapa,2/3/3/10,0.0000,0.0000,"0",13.9521,-12.0215,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
13.985761,-11.932086,Tchilombo,2/3/3/44,0.0000,0.0000,"0",13.9858,-11.9321,No,2004-10-27 12:58:29.000,CN,Cidade.shp,./0.png
13.990234,-11.919398,Chitumbo,2/3/3/12,0.0000,0.0000,"0",13.9902,-11.9194,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
14.062358,-11.989472,Montarroio,2/3/3/37,0.0000,0.0000,"0",14.0624,-11.9895,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
14.00115,-12.062068,Chiconguele,2/3/3/43,0.0000,0.0000,"0",14.0012,-12.0621,No,2004-10-27 12:58:29.000,CN,Cidade.shp,./0.png
13.767454,-11.929777,Tchimbala,2/3/5/6,0.0000,0.0000,"0",13.7675,-11.9298,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
13.99691,-11.981614,Ayombo,2/3/3/6,0.0000,0.0000,"0",13.9969,-11.9816,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
13.983719,-11.900847,Cayendula,2/3/3/46,0.0000,0.0000,"0",13.9837,-11.9008,No,2004-10-27 12:58:29.000,CN,Cidade.shp,./0.png
13.972505,-11.979871,Dundo,2/3/3/15,0.0000,0.0000,"0",13.9725,-11.9799,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
13.995913,-11.995291,Kanjala  Sede,2/3/3/25,0.0000,0.0000,"0",13.9959,-11.9953,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
13.952356,-12.005683,I de Junho,2/3/3/19,0.0000,0.0000,"0",13.9524,-12.0057,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
13.940482,-12.063905,Kacula,2/3/3/22,0.0000,0.0000,"0",13.9405,-12.0639,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
13.984992,-11.988045,Ahongo,2/3/3/3,0.0000,0.0000,"0",13.9850,-11.9880,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
13.976154,-11.986349,Liro,2/3/3/32,0.0000,0.0000,"0",13.9762,-11.9863,No,2004-08-20 12:42:25.000,CN,Cidade.shp,./0.png
